id,name,level,type
49,Épée de Fouraille,15,Épée
58,La Triste Lame,21,Épée
44,Épée de Boisaille,7,Épée
55,Épée d'Alle,26,Épée
66,La crinière de Badoul,33,Épée
84,Amulette du Mulou,8,Amulette
67,Le Tranchant Infernal,22,Épée
65,Goultard,40,Épée
70,Amulette du Hibou,8,Amulette
77,Amulette de l'Ours,8,Amulette
62,Épée d'Ha,17,Épée
112,Anneau de Chance,9,Anneau
91,Arc de Boisaille,7,Arc
103,Anneau de Sagesse,9,Anneau
97,Dagues de Boisaille,7,Dague
134,Baguette de Boisaille,3,Baguette
121,Anneau d'Agilité,9,Anneau
130,L'Ecrabouilleur de Iop,27,Bottes
147,Marteau de Boisaille,6,Marteau
127,Bottes de Bowisse,50,Bottes
140,Bâton de Boisaille,9,Bâton
153,Pelle de Boisaille,6,Pelle
165,Baguette de Glace,11,Baguette
159,La Broche Céleste,40,Amulette
157,La Gougnole,17,Amulette
161,La Célébrité,27,Amulette
156,Ceinture de Puissance,31,Ceinture
158,La Destinée Dorée,12,Amulette
160,Le Flan des Étoiles,61,Amulette
203,Ceinture du Tot,33,Ceinture
180,La Baguette des Limbes,105,Baguette
200,God Rod,67,Bâton
183,Bâton Feuillu,12,Bâton
181,Baguette des Cieux,51,Baguette
208,Dagues de Fouraille,13,Dague
194,Bâton Spirituel,16,Bâton
204,Kryst O'Boul,68,Bâton
201,Hook,55,Bâton
202,Razielle,52,Épée
188,Bâton Kouyu,8,Bâton
234,Ragnarok,66,Marteau
230,Marteau d'Ivoire,19,Marteau
237,Sargasse,27,Marteau
236,Barabas,23,Marteau
224,Marteau de Raclage,15,Marteau
233,Kaiser,82,Marteau
235,Cerberus,16,Marteau
214,Dagues de Croclage,17,Dague
220,Chakra Style,73,Dague
218,Bashers,29,Dague
219,Blessdags,64,Dague
267,Arc Déroutant,19,Arc
255,Ceinture Vitalesque,9,Ceinture
241,Pelle de Crapouille,17,Pelle
247,Pelle de Rapage,19,Pelle
263,Ceinture Agilesque,8,Ceinture
259,Ceinture Forcesque,8,Ceinture
250,Ares,72,Pelle
251,Barbe Grise,20,Pelle
271,Le Marteau du Chafer,21,Marteau
296,Pelle du Craqueleur,29,Pelle
274,Pièce du Puzzle de la Griffe,43,Pierre brute
282,Potion de Soin supérieure,60,Potion
273,La Corde de Yamato,31,Arc
279,La Larme du Bouftou,5,Amulette
278,Anneau des Rocheuses,11,Anneau
299,Bottes de Faillete,24,Bottes
289,Blé,1,Céréale
287,Graine de Sésame,1,Graine
288,Graine de Tournesol,18,Graine
298,Sandales Tofuesques,3,Bottes
292,Testicules de Cocholou,96,Ressources diverses
276,Pièce du Trésor du Badoul,43,Ressources diverses
291,Poils de Mulounoké,96,Poil
272,Nomoon,28,Arc
283,Potion de Soin,40,Potion
286,Levure de Boulanger,1,Poudre
281,Pomme,1,Friandise
280,Collier de l'Arc en Ciel,9,Amulette
290,Champignon,66,Champignon
270,Xaveur,58,Arc
326,Amulette Deulegarnoulle,33,Amulette
306,Fleur de Pissenlit Diabolique,18,Fleur
312,Fer,1,Minerai
301,Plume de Tofu,36,Plume
303,Bois de Frêne,1,Bois
327,Lame du Gob-Trotteur,16,Épée
323,Amulette du Kam Assutra,43,Amulette
316,Émeraude,50,Pierre précieuse
305,Dent de Wabbit,44,Os
300,Graine de Pavot,18,Graine
329,Arc de Triomphe,27,Arc
325,Amulette du Sram,7,Amulette
313,Or,160,Minerai
310,Os de Chafer,5,Os
308,Coquille de Dragoeuf Calcaire,70,Coquille
328,Koupe-koupe,18,Épée
302,Tambour de Gobaladée,40,Ressources diverses
324,Amulette de Krokette,9,Amulette
307,Ailes de Moskito,18,Aile
315,Diamant,50,Pierre précieuse
309,Pétale de Rose Démoniaque,16,Fleur
304,Cuir de Scélérat Strubien,26,Cuir
311,Eau Potable,1,Liquide
320,Bâton du Tabi,40,Bâton
359,L'Ecaliseur,29,Anneau
346,Anneau Rak,17,Anneau
355,L'Anneau de Valeur,12,Anneau
334,Baguette de Liriel,20,Baguette
337,Arc du Bwork Archer,20,Arc
350,Argent,120,Minerai
354,La Klebik,25,Épée
341,Dagues Eurfolles,46,Dague
340,Leurnettes,12,Dague
333,Baguette Deuh-Pain,50,Baguette
358,La Queue Infernale,21,Épée
347,Rhizome Doré,40,Pelle
342,Marteau Pickeur,18,Marteau
336,Bâton du Grand Pa Wabbit,32,Bâton
332,Arc de Jeanne,30,Arc
335,Bâton du Bwork Mage,58,Bâton
331,Arc Hancihaile,22,Arc
339,Lame du Chafer,27,Épée
357,La Queue,13,Épée
348,Bottes de Céleri-Thé,53,Bottes
351,Bière d'Amakna,1,Bière
356,Ceinture d'Endurance,27,Ceinture
369,Gelée à la Menthe,56,Gelée
363,Peau de Larve Orange,18,Peau
382,Longue-vue de Gob-Trotteur,40,Ressources diverses
366,Bec du Tofu,13,Os
385,Bave de Bouftou,7,Liquide
361,Cawotte,44,Légume
379,Pince de Crabe,46,Os
371,Sourcil de Moskito,13,Poil
387,Défense du Sanglier,24,Os
386,Groin de Sanglier,24,Ressources diverses
367,Œuf de Tofu,36,Œuf
374,Langue d'Épouvanteur,18,Plante
376,Aile du Tofu Maléfique,26,Aile
370,Gelée Bleutée Royale,60,Gelée
380,Menthe Sauvage,60,Plante
375,Dent de Tofu Mutant,36,Os
362,Peau de Larve Bleue,18,Peau
389,Huile de Tournesol Sauvage,12,Huile
378,Sporme du Champ Champ,18,Champignon
381,Fraise,58,Fruit
377,Épine du Champ Champ,18,Champignon
365,Patte d'Arakne,18,Patte
364,Peau de Larve Verte,18,Peau
388,Poils d'Arakne Malade,13,Poil
373,Intestin d'Araknosé,13,Ressources diverses
384,Laine de Bouftou,19,Laine
372,Bandeau du Black Tiwabbit,46,Vêtement
360,Oreilles du Tiwabbit,45,Oreille
368,Gelée à la Fraise,58,Gelée
383,Corne de Boufton,26,Os
406,Estomac de Wo Wabbit,56,Ressources diverses
410,Livre du Bwork Mage,45,Ressources diverses
401,Houblon,60,Céréale
409,Poils de Barbe du Bwork Mage,45,Poil
392,Noix de Pécan,50,Graine
395,Trèfle à 5 feuilles,40,Plante
408,Dentier du Chafer d'Élite,46,Os
419,Oreille du Grand Pa Wabbit,56,Oreille
407,Pic de Prespic,26,Os
397,Huile de Koode,32,Huile
412,Bec du Kwak de Flamme,44,Os
393,Gland,26,Graine
411,Bec du Kwak de Glace,44,Os
400,Orge,20,Céréale
398,Fruit de Palme,38,Fruit
390,Huile de Noix,32,Huile
413,Bec du Kwak de Vent,44,Os
394,Noisette,26,Graine
399,Huile de Sésame,1,Huile
416,Plume du Kwak de Vent,44,Plume
417,Boue du Boo,27,Liquide
418,Poils de Barbe du Grand Pa Wabbit,56,Poil
415,Plume du Kwak de Flamme,44,Plume
405,Malt,120,Céréale
414,Plume du Kwak de Glace,44,Plume
396,Huile de Palme,32,Huile
391,Noix de Cajou,43,Graine
448,Silex,66,Pierre brute
429,Miséricorde du Chafer d'Élite,46,Ressource de combat
433,Fémur du Chafer Archer,46,Os
432,Côtes du Rib,33,Os
441,Cuivre,20,Minerai
427,Graine de Chanvre,10,Graine
424,Fibre criminelle,66,Étoffe
428,Sauge,20,Plante
421,Ortie,1,Plante
430,Os Invisible du Chafer Invisible,23,Os
445,Manganèse,80,Minerai
422,Graine de Lin,1,Graine
434,Écorce d'Abraknyde,44,Écorce
446,Bauxite,140,Minerai
436,Bâton en Racine d'Abraknyde,30,Bâton
425,Chanvre,140,Céréale
438,Queue du Mulou,96,Queue
449,Bois d'Ébène,140,Bois
420,Ficelle en Lin,1,Ressources diverses
435,Racine d'Abraknyde,44,Racine
442,Bronze,40,Minerai
447,Charbon,65,Minerai
439,Canine de Mergranlou,96,Os
437,Bourgeon d'Abraknyde,44,Bourgeon
443,Kobalte,60,Minerai
431,Pierre du Craqueleur,61,Pierre brute
444,Étain,100,Minerai
426,Fibre de Chanvre,176,Étoffe
440,Griffe de Muloubard,96,Ressources diverses
423,Lin,80,Céréale
467,Rubis,50,Pierre précieuse
468,Pain d'Incarnam,1,Pain
472,Bois de Charme,160,Bois
479,Ivoire,33,Os
462,Arc en Racine d'Abraknyde,25,Arc
458,Amulette du Chafer,19,Amulette
473,Bois de Châtaignier,20,Bois
460,Bois de Chêne,60,Bois
470,Bois d'Orme,180,Bois
476,Bois de Noyer,40,Bois
469,Baguette en Racine d'Abraknyde,33,Baguette
474,Bois de Merisier,120,Bois
463,Ambre,44,Pierre précieuse
465,Cristal,40,Pierre précieuse
477,Sang de Dragon Cochon,100,Liquide
450,Pierre de Granit,26,Pierre brute
464,Ambre d'Abraknyde,44,Pierre précieuse
478,Élagueuse de Charme,47,Hache
466,Saphir,30,Pierre précieuse
455,Marteau de l'Aurore,26,Marteau
456,Tueuse de Chênes,33,Hache
461,Bois d'If,100,Bois
471,Bois d'Érable,80,Bois
481,Crâne du Dragon Cochon,100,Ressources obsolètes
489,Loupe,1,Outil
485,Slip en cuir du Chafer Lancier,46,Vêtement
502,Trancheuse d'If,17,Hache
484,Pelle Teuze,31,Pelle
487,Cuir du Dragon Cochon,100,Cuir
480,Minerai Étrange,56,Minerai
486,Cuir de Gargrouille,36,Cuir
501,Sève d'Abraknyde Retravaillée,30,Ressources diverses
532,Seigle,100,Céréale
533,Avoine,40,Céréale
537,Pomme de Terre,1,Légume
520,Borodinski,130,Pain
515,Boulgourde des Clairières,62,Hache
536,Pain aux Flocons d'Avoine,40,Pain
528,Carasau,20,Pain
527,Mantou,150,Pain
538,Pommes de Terre épluchées,1,Légume
521,Michette,10,Pain
526,Pain aux Céréales,120,Pain
539,Pain de Seigle,100,Pain
522,Biscotte,80,Pain
519,Poudre de Perlinpainpain,1,Poudre
524,Fougasse,30,Pain
545,Pierre de Cristal,30,Pierre brute
547,Pierre de Rubis,30,Pierre brute
544,Pierre d'Émeraude,30,Pierre brute
546,Pierre de Saphir,30,Pierre brute
548,Potion de Rappel,10,Potion de téléportation
543,Pierre de Diamant,30,Pierre brute
593,Orchidée Freyesque,80,Fleur
580,Potion Ghetto Raide,50,Potion
592,Corde d'Ivan Nowé,36,Arc
594,Edelweiss,100,Fleur
598,Greuvette,10,Poisson
597,Filet de capture de Dragodinde,60,Filet de capture
610,Amulette en Crabe,24,Amulette
607,Truite Vaseuse,20,Poisson
617,Amulette du Pirate,41,Amulette
629,Chapeau Pointu,21,Chapeau
603,Poisson-Chaton,40,Poisson
620,Découpeuse de Kralamoure,61,Épée
616,Amulette du Marin,22,Amulette
600,Kralamoure,90,Poisson
602,Requin Marteau-Faucille,150,Poisson
619,Bâton du Maître des Bouftous,85,Bâton
