idk,min,max,exo,stat_id,rune_stat_name,rune_weight,rune_stats,item_id
39609,4,6,False,19,% Critique,10.0,1,58
13134,10,13,False,15,Intelligence,1.0,1,70
39744,7,10,False,13,Agilité,1.0,1,97
39745,1,1,False,89,Dommages Air,5.0,1,97
39746,16,20,False,7,Vitalité,0.2,5,91
39747,2,2,False,69,Tacle,4.0,1,91
39653,7,10,False,5,Force,1.0,1,62
39652,16,20,False,7,Vitalité,0.2,5,62
39654,3,4,False,67,Fuite,4.0,1,62
10862,16,20,False,11,Chance,1.0,1,127
10864,1,1,False,23,PM,90.0,1,127
10863,2,3,False,47,Prospection,3.0,1,127
10861,-10,-10,False,67,Fuite,4.0,1,127
39589,31,40,False,7,Vitalité,0.2,5,67
39590,21,25,False,13,Agilité,1.0,1,67
39591,-10,-10,False,49,Soins,10.0,1,67
39592,2,3,False,67,Fuite,4.0,1,67
12613,21,25,False,5,Force,1.0,1,130
12616,-10,-10,False,11,Chance,1.0,1,130
12615,21,25,False,13,Agilité,1.0,1,130
12614,-10,-10,False,15,Intelligence,1.0,1,130
12618,2,2,False,83,Dommages Terre,5.0,1,130
12617,2,2,False,89,Dommages Air,5.0,1,130
13124,16,20,False,7,Vitalité,0.2,5,84
13125,3,4,False,49,Soins,10.0,1,84
39546,16,20,False,5,Force,1.0,1,55
39545,-20,-20,False,7,Vitalité,0.2,5,55
39547,16,20,False,15,Intelligence,1.0,1,55
39548,4,5,False,67,Fuite,4.0,1,55
13101,7,10,False,9,Sagesse,3.0,1,103
13117,7,10,False,11,Chance,1.0,1,112
39673,7,10,False,5,Force,1.0,1,49
39672,11,15,False,7,Vitalité,0.2,5,49
39675,2,2,False,83,Dommages Terre,5.0,1,49
39674,2,2,False,91,Dommages Neutre,5.0,1,49
39742,7,10,False,5,Force,1.0,1,44
39743,1,1,False,83,Dommages Terre,5.0,1,44
39297,21,30,False,5,Force,1.0,1,65
39296,31,40,False,7,Vitalité,0.2,5,65
39298,21,30,False,13,Agilité,1.0,1,65
39299,2,3,False,69,Tacle,4.0,1,65
39417,1,1,False,23,PM,90.0,1,66
39419,-12,-12,False,67,Fuite,4.0,1,66
39418,-12,-12,False,69,Tacle,4.0,1,66
13147,10,13,False,5,Force,1.0,1,77
39755,3,5,False,15,Intelligence,1.0,1,134
39748,7,10,False,7,Vitalité,0.2,5,147
39749,2,2,False,19,% Critique,10.0,1,147
13118,7,10,False,13,Agilité,1.0,1,121
39662,16,20,False,7,Vitalité,0.2,5,194
39663,11,15,False,15,Intelligence,1.0,1,194
39664,1,1,False,19,% Critique,10.0,1,194
12965,11,15,False,7,Vitalité,0.2,5,158
12966,7,10,False,13,Agilité,1.0,1,158
12967,2,2,False,69,Tacle,4.0,1,158
39687,7,10,False,5,Force,1.0,1,208
39688,2,2,False,19,% Critique,10.0,1,208
39689,1,1,False,83,Dommages Terre,5.0,1,208
10061,1,1,False,3,PA,100.0,1,160
10058,16,20,False,7,Vitalité,0.2,5,160
10060,11,15,False,9,Sagesse,3.0,1,160
10059,16,20,False,15,Intelligence,1.0,1,160
39057,-10,-10,False,5,Force,1.0,1,181
39056,46,55,False,7,Vitalité,0.2,5,181
39059,-10,-10,False,11,Chance,1.0,1,181
39060,31,40,False,13,Agilité,1.0,1,181
39058,-10,-10,False,15,Intelligence,1.0,1,181
39061,1,1,False,21,Portée,51.0,1,181
39063,2,3,False,67,Fuite,4.0,1,181
39062,2,3,False,69,Tacle,4.0,1,181
38943,-1,-20,False,5,Force,1.0,1,201
38945,26,30,False,9,Sagesse,3.0,1,201
38944,31,40,False,11,Chance,1.0,1,201
38946,1,1,False,21,Portée,51.0,1,201
39711,11,15,False,5,Force,1.0,1,183
39712,2,3,False,69,Tacle,4.0,1,183
38702,1,1,False,3,PA,100.0,1,200
38698,40,40,False,7,Vitalité,0.2,5,200
38700,25,25,False,9,Sagesse,3.0,1,200
38699,-40,-40,False,13,Agilité,1.0,1,200
38701,1,1,False,19,% Critique,10.0,1,200
39733,7,10,False,5,Force,1.0,1,140
39734,1,1,False,83,Dommages Terre,5.0,1,140
37951,1,1,False,3,PA,100.0,1,180
37948,-11,-40,False,5,Force,1.0,1,180
37950,21,40,False,9,Sagesse,3.0,1,180
37949,21,40,False,15,Intelligence,1.0,1,180
37953,1,1,False,21,Portée,51.0,1,180
37952,1,1,False,23,PM,90.0,1,180
38687,-11,-20,False,7,Vitalité,0.2,5,204
38690,21,30,False,9,Sagesse,3.0,1,204
38689,21,30,False,13,Agilité,1.0,1,204
38688,21,30,False,15,Intelligence,1.0,1,204
38691,3,5,False,19,% Critique,10.0,1,204
12865,21,25,False,7,Vitalité,0.2,5,157
12866,11,15,False,15,Intelligence,1.0,1,157
12867,2,3,False,49,Soins,10.0,1,157
12460,31,40,False,7,Vitalité,0.2,5,156
12462,31,40,False,11,Chance,1.0,1,156
12461,-30,-30,False,13,Agilité,1.0,1,156
12463,2,2,False,87,Dommages Eau,5.0,1,156
12626,4,4,False,7,Vitalité,0.2,5,161
12625,1,1,False,21,Portée,51.0,1,161
12054,1,1,False,3,PA,100.0,1,159
12053,-20,-20,False,7,Vitalité,0.2,5,159
12052,-300,-300,False,45,Initiative,0.1,10,159
39726,9,12,False,15,Intelligence,1.0,1,165
39727,1,1,False,85,Dommages Feu,5.0,1,165
12362,41,60,False,7,Vitalité,0.2,5,203
12363,-30,-30,False,15,Intelligence,1.0,1,203
12364,2,3,False,17,Dommages,20.0,1,203
12365,4,5,False,19,% Critique,10.0,1,203
39751,7,10,False,11,Chance,1.0,1,153
39009,31,40,False,5,Force,1.0,1,202
39008,41,60,False,7,Vitalité,0.2,5,202
39011,-25,-25,False,11,Chance,1.0,1,202
39012,31,40,False,13,Agilité,1.0,1,202
39010,-25,-25,False,15,Intelligence,1.0,1,202
39016,2,3,False,69,Tacle,4.0,1,202
39014,2,3,False,83,Dommages Terre,5.0,1,202
39015,2,3,False,89,Dommages Air,5.0,1,202
39013,2,3,False,91,Dommages Neutre,5.0,1,202
39735,7,10,False,9,Sagesse,3.0,1,188
39487,21,30,False,13,Agilité,1.0,1,218
39488,3,4,False,19,% Critique,10.0,1,218
39658,21,30,False,7,Vitalité,0.2,5,241
39659,9,12,False,11,Chance,1.0,1,241
39667,16,20,False,13,Agilité,1.0,1,235
39668,2,3,False,69,Tacle,4.0,1,235
39585,21,30,False,7,Vitalité,0.2,5,236
39586,21,30,False,13,Agilité,1.0,1,236
39660,21,25,False,7,Vitalité,0.2,5,214
39661,16,20,False,13,Agilité,1.0,1,214
38768,-11,-20,False,5,Force,1.0,1,219
38767,31,40,False,7,Vitalité,0.2,5,219
38769,31,40,False,11,Chance,1.0,1,219
38770,31,40,False,13,Agilité,1.0,1,219
38771,2,6,False,19,% Critique,10.0,1,219
38628,1,1,False,3,PA,100.0,1,220
38625,31,40,False,7,Vitalité,0.2,5,220
38627,11,15,False,9,Sagesse,3.0,1,220
38626,21,30,False,11,Chance,1.0,1,220
38629,4,5,False,87,Dommages Eau,5.0,1,220
38638,1,1,False,3,PA,100.0,1,250
38636,21,30,False,7,Vitalité,0.2,5,250
38637,16,20,False,11,Chance,1.0,1,250
38639,1,1,False,27,Invocations,30.0,1,250
38640,4,5,False,87,Dommages Eau,5.0,1,250
13126,9,12,False,5,Force,1.0,1,259
13127,1,1,False,83,Dommages Terre,5.0,1,259
39640,21,30,False,7,Vitalité,0.2,5,230
39642,2,3,False,67,Fuite,4.0,1,230
39643,2,2,False,79,Dommages critiques,5.0,1,230
39644,2,3,False,81,Résistance Critiques,2.0,1,230
39641,2,2,False,91,Dommages Neutre,5.0,1,230
13123,26,35,False,7,Vitalité,0.2,5,255
39633,16,20,False,7,Vitalité,0.2,5,267
39635,4,5,False,9,Sagesse,3.0,1,267
39634,11,15,False,11,Chance,1.0,1,267
39636,2,3,False,47,Prospection,3.0,1,267
39627,16,25,False,7,Vitalité,0.2,5,251
39628,2,3,False,69,Tacle,4.0,1,251
38740,11,20,False,7,Vitalité,0.2,5,234
38742,36,45,False,9,Sagesse,3.0,1,234
38741,36,45,False,15,Intelligence,1.0,1,234
38743,1,1,False,27,Invocations,30.0,1,234
38423,21,30,False,5,Force,1.0,1,233
38422,71,100,False,7,Vitalité,0.2,5,233
38425,21,30,False,13,Agilité,1.0,1,233
38424,21,30,False,15,Intelligence,1.0,1,233
38427,4,5,False,17,Dommages,20.0,1,233
38426,16,20,False,25,Puissance,2.0,1,233
38428,7,10,False,79,Dommages critiques,5.0,1,233
39684,16,20,False,7,Vitalité,0.2,5,224
39685,7,10,False,15,Intelligence,1.0,1,224
39686,5,7,False,25,Puissance,2.0,1,224
39525,-40,-40,False,5,Force,1.0,1,237
39524,41,60,False,7,Vitalité,0.2,5,237
39526,31,40,False,11,Chance,1.0,1,237
39527,2,3,False,87,Dommages Eau,5.0,1,237
39637,11,15,False,7,Vitalité,0.2,5,247
39638,11,15,False,11,Chance,1.0,1,247
39639,11,15,False,13,Agilité,1.0,1,247
13140,9,12,False,13,Agilité,1.0,1,263
13141,1,1,False,89,Dommages Air,5.0,1,263
39608,1,1,False,19,% Critique,10.0,1,271
39493,-10,-10,False,5,Force,1.0,1,272
39492,41,60,False,7,Vitalité,0.2,5,272
39495,7,10,False,11,Chance,1.0,1,272
39496,7,10,False,13,Agilité,1.0,1,272
39494,-10,-10,False,15,Intelligence,1.0,1,272
39497,2,3,False,19,% Critique,10.0,1,272
