nom_de_lobjet,Serveur,Actualisation,Lot [1],Lot [10],Lot [100],Craft,Gain,last_updated_fr
Épée de Boisaille,Hell Mina,Il y'a 3 heures,3980,38988,-,2373,+ 1 607,2024-04-23 09:38:56
Épée de Fouraille,Hell Mina,Il y'a 3 heures,500,-,-,785,-285,2024-04-23 09:38:56
Épée d'Alle,Hell Mina,Il y'a 3 heures,899,-,-,676,+ 223,2024-04-23 09:38:56
La Triste Lame,Hell Mina,Il y'a 3 heures,5445,-,-,3365,+ 2 080,2024-04-23 09:38:56
Épée d'Ha,Hell Mina,Il y'a 3 heures,15000,-,-,1019,+ 13 981,2024-04-23 09:38:56
Goultard,Hell Mina,Il y'a 3 heures,4000,-,-,3828,+ 172,2024-04-23 09:38:56
La crinière de Badoul,Hell Mina,Il y'a 3 heures,14999,-,-,5681,+ 9 318,2024-04-23 09:38:56
Le Tranchant Infernal,Hell Mina,Il y'a 3 heures,17799,-,-,1239,+ 16 560,2024-04-23 09:38:56
Amulette du Hibou,Hell Mina,Il y'a 3 heures,1600,-,-,312,+ 1 288,2024-04-23 09:38:56
Amulette de l'Ours,Hell Mina,Il y'a 3 heures,100,-,-,591,-491,2024-04-23 09:38:56
Amulette du Mulou,Hell Mina,Il y'a 3 heures,180,-,-,351,-171,2024-04-23 09:38:56
Arc de Boisaille,Hell Mina,Il y'a 3 heures,20,-,-,300,-280,2024-04-23 09:38:56
Dagues de Boisaille,Hell Mina,Il y'a 3 heures,1400,13900,-,342,+ 1 058,2024-04-23 09:38:56
Anneau de Sagesse,Hell Mina,Il y'a 3 heures,1739,17470,-,285,+ 1 454,2024-04-23 09:38:56
Anneau de Chance,Hell Mina,Il y'a 3 heures,60,-,-,252,-192,2024-04-23 09:38:56
Anneau d'Agilité,Hell Mina,Il y'a 3 heures,1000,11436,149557,377,+ 623,2024-04-23 09:38:56
Bottes de Bowisse,Hell Mina,Il y'a 3 heures,27000,-,-,12137,+ 14 863,2024-04-23 09:38:56
L'Ecrabouilleur de Iop,Hell Mina,Il y'a 3 heures,5000,-,-,1604,+ 3 396,2024-04-23 09:38:56
Baguette de Boisaille,Hell Mina,Il y'a 3 heures,47,1000,-,137,-90,2024-04-23 09:38:56
Bâton de Boisaille,Hell Mina,Il y'a 3 heures,50,8500,-,261,-211,2024-04-23 09:38:56
Marteau de Boisaille,Hell Mina,Il y'a 3 heures,8397,-,-,110,+ 8 287,2024-04-23 09:38:56
Pelle de Boisaille,Hell Mina,Il y'a 3 heures,1685,33973,349855,321,+ 1 364,2024-04-23 09:38:56
Ceinture de Puissance,Hell Mina,Il y'a 3 heures,6900,-,-,4804,+ 2 096,2024-04-23 09:38:56
