item_id,name,level,type,nom_de_lobjet,Serveur,Actualisation,Lot [1],Lot [10],Lot [100],Craft,Gain,last_updated_fr
49,Épée de Fouraille,15,Épée,Épée de Fouraille,Hell Mina,Il y'a 3 heures,500,-,-,785,-285,2024-04-23 09:38:56
58,La Triste Lame,21,Épée,La Triste Lame,Hell Mina,Il y'a 3 heures,5445,-,-,3365,+ 2 080,2024-04-23 09:38:56
44,Épée de Boisaille,7,Épée,Épée de Boisaille,Hell Mina,Il y'a 3 heures,3980,38988,-,2373,+ 1 607,2024-04-23 09:38:56
55,Épée d'Alle,26,Épée,Épée d'Alle,Hell Mina,Il y'a 3 heures,899,-,-,676,+ 223,2024-04-23 09:38:56
66,La crinière de Badoul,33,Épée,La crinière de Badoul,Hell Mina,Il y'a 3 heures,14999,-,-,5681,+ 9 318,2024-04-23 09:38:56
84,Amulette du Mulou,8,Amulette,Amulette du Mulou,Hell Mina,Il y'a 3 heures,180,-,-,351,-171,2024-04-23 09:38:56
67,Le Tranchant Infernal,22,Épée,Le Tranchant Infernal,Hell Mina,Il y'a 3 heures,17799,-,-,1239,+ 16 560,2024-04-23 09:38:56
65,Goultard,40,Épée,Goultard,Hell Mina,Il y'a 3 heures,4000,-,-,3828,+ 172,2024-04-23 09:38:56
70,Amulette du Hibou,8,Amulette,Amulette du Hibou,Hell Mina,Il y'a 3 heures,1600,-,-,312,+ 1 288,2024-04-23 09:38:56
77,Amulette de l'Ours,8,Amulette,Amulette de l'Ours,Hell Mina,Il y'a 3 heures,100,-,-,591,-491,2024-04-23 09:38:56
62,Épée d'Ha,17,Épée,Épée d'Ha,Hell Mina,Il y'a 3 heures,15000,-,-,1019,+ 13 981,2024-04-23 09:38:56
112,Anneau de Chance,9,Anneau,Anneau de Chance,Hell Mina,Il y'a 3 heures,60,-,-,252,-192,2024-04-23 09:38:56
91,Arc de Boisaille,7,Arc,Arc de Boisaille,Hell Mina,Il y'a 3 heures,20,-,-,300,-280,2024-04-23 09:38:56
103,Anneau de Sagesse,9,Anneau,Anneau de Sagesse,Hell Mina,Il y'a 3 heures,1739,17470,-,285,+ 1 454,2024-04-23 09:38:56
97,Dagues de Boisaille,7,Dague,Dagues de Boisaille,Hell Mina,Il y'a 3 heures,1400,13900,-,342,+ 1 058,2024-04-23 09:38:56
134,Baguette de Boisaille,3,Baguette,Baguette de Boisaille,Hell Mina,Il y'a 3 heures,47,1000,-,137,-90,2024-04-23 09:38:56
121,Anneau d'Agilité,9,Anneau,Anneau d'Agilité,Hell Mina,Il y'a 3 heures,1000,11436,149557,377,+ 623,2024-04-23 09:38:56
130,L'Ecrabouilleur de Iop,27,Bottes,L'Ecrabouilleur de Iop,Hell Mina,Il y'a 3 heures,5000,-,-,1604,+ 3 396,2024-04-23 09:38:56
147,Marteau de Boisaille,6,Marteau,Marteau de Boisaille,Hell Mina,Il y'a 3 heures,8397,-,-,110,+ 8 287,2024-04-23 09:38:56
127,Bottes de Bowisse,50,Bottes,Bottes de Bowisse,Hell Mina,Il y'a 3 heures,27000,-,-,12137,+ 14 863,2024-04-23 09:38:56
140,Bâton de Boisaille,9,Bâton,Bâton de Boisaille,Hell Mina,Il y'a 3 heures,50,8500,-,261,-211,2024-04-23 09:38:56
153,Pelle de Boisaille,6,Pelle,Pelle de Boisaille,Hell Mina,Il y'a 3 heures,1685,33973,349855,321,+ 1 364,2024-04-23 09:38:56
165,Baguette de Glace,11,Baguette,Baguette de Glace,Hell Mina,Il y'a 3 heures,798,-,-,783,+ 15,2024-04-23 09:38:56
159,La Broche Céleste,40,Amulette,La Broche Céleste,Hell Mina,Il y'a 3 heures,14700,-,-,9431,+ 5 269,2024-04-23 09:38:56
157,La Gougnole,17,Amulette,La Gougnole,Hell Mina,Il y'a 3 heures,469,-,-,666,-197,2024-04-23 09:38:56
161,La Célébrité,27,Amulette,La Célébrité,Hell Mina,Il y'a 3 heures,24994,170000,-,3841,+ 21 153,2024-04-23 09:38:56
156,Ceinture de Puissance,31,Ceinture,Ceinture de Puissance,Hell Mina,Il y'a 3 heures,6900,-,-,4804,+ 2 096,2024-04-23 09:38:56
158,La Destinée Dorée,12,Amulette,La Destinée Dorée,Hell Mina,Il y'a 3 heures,2999,-,-,666,+ 2 333,2024-04-23 09:38:56
160,Le Flan des Étoiles,61,Amulette,Le Flan des Étoiles,Hell Mina,Il y'a 3 heures,30000,-,-,25143,+ 4 857,2024-04-23 09:38:56
203,Ceinture du Tot,33,Ceinture,Ceinture du Tot,Hell Mina,Il y'a 3 heures,37000,-,-,13764,+ 23 236,2024-04-23 09:38:56
180,La Baguette des Limbes,105,Baguette,La Baguette des Limbes,Hell Mina,Il y'a 3 heures,118999,-,-,122109,-3 110,2024-04-23 09:38:56
200,God Rod,67,Bâton,God Rod,Hell Mina,Il y'a 3 heures,32499,-,-,20065,+ 12 434,2024-04-23 09:38:56
181,Baguette des Cieux,51,Baguette,Baguette des Cieux,Hell Mina,Il y'a 3 heures,10900,-,-,6215,+ 4 685,2024-04-23 09:38:56
208,Dagues de Fouraille,13,Dague,Dagues de Fouraille,Hell Mina,Il y'a 3 heures,288,14000,-,2131,-1 843,2024-04-23 09:38:56
194,Bâton Spirituel,16,Bâton,Bâton Spirituel,Hell Mina,Il y'a 3 heures,2246,-,-,2781,-535,2024-04-23 09:38:56
204,Kryst O'Boul,68,Bâton,Kryst O'Boul,Hell Mina,Il y'a 3 heures,80004,-,-,34205,+ 45 799,2024-04-23 09:38:56
201,Hook,55,Bâton,Hook,Hell Mina,Il y'a 3 heures,10900,-,-,4837,+ 6 063,2024-04-23 09:38:56
202,Razielle,52,Épée,Razielle,Hell Mina,Il y'a 3 heures,30000,-,-,10619,+ 19 381,2024-04-23 09:38:56
188,Bâton Kouyu,8,Bâton,Bâton Kouyu,Hell Mina,Il y'a 3 heures,68,20000,-,386,-318,2024-04-23 09:38:56
234,Ragnarok,66,Marteau,Ragnarok,Hell Mina,Il y'a 3 heures,53464,-,-,20546,+ 32 918,2024-04-23 09:38:56
230,Marteau d'Ivoire,19,Marteau,Marteau d'Ivoire,Hell Mina,Il y'a 3 heures,1960,-,-,857,+ 1 103,2024-04-23 09:38:56
237,Sargasse,27,Marteau,Sargasse,Hell Mina,Il y'a 3 heures,6666,-,-,4341,+ 2 325,2024-04-23 09:38:56
236,Barabas,23,Marteau,Barabas,Hell Mina,Il y'a 3 heures,6000,-,-,3139,+ 2 861,2024-04-23 09:38:56
224,Marteau de Raclage,15,Marteau,Marteau de Raclage,Hell Mina,Il y'a 3 heures,5999,-,-,346,+ 5 653,2024-04-23 09:38:56
233,Kaiser,82,Marteau,Kaiser,Hell Mina,Il y'a 3 heures,26998,-,-,14329,+ 12 669,2024-04-23 09:38:56
235,Cerberus,16,Marteau,Cerberus,Hell Mina,Il y'a 3 heures,998,-,-,177,+ 821,2024-04-23 09:38:56
214,Dagues de Croclage,17,Dague,Dagues de Croclage,Hell Mina,Il y'a 3 heures,1497,-,-,537,+ 960,2024-04-23 09:38:56
220,Chakra Style,73,Dague,Chakra Style,Hell Mina,Il y'a 3 heures,47500,-,-,31044,+ 16 456,2024-04-23 09:38:56
218,Bashers,29,Dague,Bashers,Hell Mina,Il y'a 3 heures,8200,-,-,4248,+ 3 952,2024-04-23 09:38:56
219,Blessdags,64,Dague,Blessdags,Hell Mina,Il y'a 3 heures,45000,-,-,26033,+ 18 967,2024-04-23 09:38:56
267,Arc Déroutant,19,Arc,Arc Déroutant,Hell Mina,Il y'a 3 heures,699,-,-,867,-168,2024-04-23 09:38:56
255,Ceinture Vitalesque,9,Ceinture,Ceinture Vitalesque,Hell Mina,Il y'a 3 heures,4999,-,-,483,+ 4 516,2024-04-23 09:38:56
241,Pelle de Crapouille,17,Pelle,Pelle de Crapouille,Hell Mina,Il y'a 3 heures,748,-,-,828,-80,2024-04-23 09:38:56
247,Pelle de Rapage,19,Pelle,Pelle de Rapage,Hell Mina,Il y'a 3 heures,4560,-,-,797,+ 3 763,2024-04-23 09:38:56
263,Ceinture Agilesque,8,Ceinture,Ceinture Agilesque,Hell Mina,Il y'a 3 heures,699,-,-,402,+ 297,2024-04-23 09:38:56
259,Ceinture Forcesque,8,Ceinture,Ceinture Forcesque,Hell Mina,Il y'a 3 heures,200,-,-,360,-160,2024-04-23 09:38:56
250,Ares,72,Pelle,Ares,Hell Mina,Il y'a 3 heures,61987,-,-,31756,+ 30 231,2024-04-23 09:38:56
251,Barbe Grise,20,Pelle,Barbe Grise,Hell Mina,Il y'a 3 heures,1000,-,-,831,+ 169,2024-04-23 09:38:56
271,Le Marteau du Chafer,21,Marteau,Le Marteau du Chafer,Hell Mina,Il y'a 3 heures,1600,-,-,3448,-1 848,2024-04-23 09:38:56
296,Pelle du Craqueleur,29,Pelle,Pelle du Craqueleur,Hell Mina,Il y'a 3 heures,499,-,-,1376,-877,2024-04-23 09:38:56
274,Pièce du Puzzle de la Griffe,43,Pierre brute,Pièce du Puzzle de la Griffe,Hell Mina,Il y'a 3 heures,9,199,9987,,-,2024-04-23 09:38:56
282,Potion de Soin supérieure,60,Potion,Potion de Soin supérieure,Hell Mina,Il y'a 3 heures,229,3250,30000,348,-119,2024-04-23 09:38:56
273,La Corde de Yamato,31,Arc,La Corde de Yamato,Hell Mina,Il y'a 3 heures,2999,-,-,2798,+ 201,2024-04-23 09:38:56
279,La Larme du Bouftou,5,Amulette,La Larme du Bouftou,Hell Mina,Il y'a 3 heures,50,150,-,258,-208,2024-04-23 09:38:56
278,Anneau des Rocheuses,11,Anneau,Anneau des Rocheuses,Hell Mina,Il y'a 3 heures,799,-,-,401,+ 398,2024-04-23 09:38:56
299,Bottes de Faillete,24,Bottes,Bottes de Faillete,Hell Mina,Il y'a 3 heures,2499,25000,-,1400,+ 1 099,2024-04-23 09:38:56
289,Blé,1,Céréale,Blé,Hell Mina,Il y'a 3 heures,9999,337,2934,,-,2024-04-23 09:38:56
287,Graine de Sésame,1,Graine,Graine de Sésame,Hell Mina,Il y'a 3 heures,2,89,965,,-,2024-04-23 09:38:56
288,Graine de Tournesol,18,Graine,Graine de Tournesol,Hell Mina,Il y'a 3 heures,120,2273,28897,,-,2024-04-23 09:38:56
298,Sandales Tofuesques,3,Bottes,Sandales Tofuesques,Hell Mina,Il y'a 3 heures,79,-,-,90,-11,2024-04-23 09:38:56
292,Testicules de Cocholou,96,Ressources diverses,Testicules de Cocholou,Hell Mina,Il y'a 3 heures,864,17500,166642,,-,2024-04-23 09:38:56
276,Pièce du Trésor du Badoul,43,Ressources diverses,Pièce du Trésor du Badoul,Hell Mina,Il y'a 3 heures,16,262,4328,,-,2024-04-23 09:38:56
291,Poils de Mulounoké,96,Poil,Poils de Mulounoké,Hell Mina,Il y'a 3 heures,66,1543,19888,,-,2024-04-23 09:38:56
272,Nomoon,28,Arc,Nomoon,Hell Mina,Il y'a 3 heures,8500,-,-,4686,+ 3 814,2024-04-23 09:38:56
272,Nomoon,28,Arc,Nomoon,Hell Mina,Il y'a 3 heures,2497,-,-,,-,2024-04-23 09:38:56
283,Potion de Soin,40,Potion,Potion de Soin,Hell Mina,Il y'a 3 heures,116,1897,19977,557,-441,2024-04-23 09:38:56
286,Levure de Boulanger,1,Poudre,Levure de Boulanger,Hell Mina,Il y'a 3 heures,8,47,327,139,-131,2024-04-23 09:38:56
281,Pomme,1,Friandise,Pomme,Hell Mina,Il y'a 3 heures,799,6978,-,,-,2024-04-23 09:38:56
280,Collier de l'Arc en Ciel,9,Amulette,Collier de l'Arc en Ciel,Hell Mina,Il y'a 3 heures,483,4569,-,278,+ 205,2024-04-23 09:38:56
290,Champignon,66,Champignon,Champignon,Hell Mina,Il y'a 3 heures,65,110,2572,,-,2024-04-23 09:38:56
270,Xaveur,58,Arc,Xaveur,Hell Mina,Il y'a 3 heures,23500,-,-,21448,+ 2 052,2024-04-23 09:38:56
326,Amulette Deulegarnoulle,33,Amulette,Amulette Deulegarnoulle,Hell Mina,Il y'a 3 heures,3888,-,-,2440,+ 1 448,2024-04-23 09:38:56
306,Fleur de Pissenlit Diabolique,18,Fleur,Fleur de Pissenlit Diabolique,Hell Mina,Il y'a 3 heures,5,193,441,,-,2024-04-23 09:38:56
312,Fer,1,Minerai,Fer,Hell Mina,Il y'a 3 heures,108,723,8736,,-,2024-04-23 09:38:56
301,Plume de Tofu,36,Plume,Plume de Tofu,Hell Mina,Il y'a 3 heures,645,6488,59000,,-,2024-04-23 09:38:56
303,Bois de Frêne,1,Bois,Bois de Frêne,Hell Mina,Il y'a 3 heures,64,420,1771,,-,2024-04-23 09:38:56
327,Lame du Gob-Trotteur,16,Épée,Lame du Gob-Trotteur,Hell Mina,Il y'a 3 heures,290,-,-,606,-316,2024-04-23 09:38:56
323,Amulette du Kam Assutra,43,Amulette,Amulette du Kam Assutra,Hell Mina,Il y'a 3 heures,24999,-,-,18929,+ 6 070,2024-04-23 09:38:56
316,Émeraude,50,Pierre précieuse,Émeraude,Hell Mina,Il y'a 3 heures,978,7495,53855,804,+ 174,2024-04-23 09:38:56
305,Dent de Wabbit,44,Os,Dent de Wabbit,Hell Mina,Il y'a 3 heures,1,33,478,,-,2024-04-23 09:38:56
300,Graine de Pavot,18,Graine,Graine de Pavot,Hell Mina,Il y'a 3 heures,88,729,2496,,-,2024-04-23 09:38:56
329,Arc de Triomphe,27,Arc,Arc de Triomphe,Hell Mina,Il y'a 3 heures,9999,-,-,7376,+ 2 623,2024-04-23 09:38:56
325,Amulette du Sram,7,Amulette,Amulette du Sram,Hell Mina,Il y'a 3 heures,200,-,-,441,-241,2024-04-23 09:38:56
313,Or,160,Minerai,Or,Hell Mina,Il y'a 3 heures,595,3996,34794,,-,2024-04-23 09:38:56
310,Os de Chafer,5,Os,Os de Chafer,Hell Mina,Il y'a 3 heures,3,55,900,,-,2024-04-23 09:38:56
308,Coquille de Dragoeuf Calcaire,70,Coquille,Coquille de Dragoeuf Calcaire,Hell Mina,Il y'a 3 heures,104,1087,9998,,-,2024-04-23 09:38:56
328,Koupe-koupe,18,Épée,Koupe-koupe,Hell Mina,Il y'a 3 heures,690,-,-,366,+ 324,2024-04-23 09:38:56
302,Tambour de Gobaladée,40,Ressources diverses,Tambour de Gobaladée,Hell Mina,Il y'a 3 heures,94,1195,14319,,-,2024-04-23 09:38:56
324,Amulette de Krokette,9,Amulette,Amulette de Krokette,Hell Mina,Il y'a 3 heures,2399,-,-,405,+ 1 994,2024-04-23 09:38:56
307,Ailes de Moskito,18,Aile,Ailes de Moskito,Hell Mina,Il y'a 3 heures,392,3080,25000,,-,2024-04-23 09:38:56
315,Diamant,50,Pierre précieuse,Diamant,Hell Mina,Il y'a 3 heures,3241,23993,260002,2846,+ 395,2024-04-23 09:38:56
309,Pétale de Rose Démoniaque,16,Fleur,Pétale de Rose Démoniaque,Hell Mina,Il y'a 3 heures,75,880,8983,,-,2024-04-23 09:38:56
304,Cuir de Scélérat Strubien,26,Cuir,Cuir de Scélérat Strubien,Hell Mina,Il y'a 3 heures,100,944,4750,,-,2024-04-23 09:38:56
311,Eau Potable,1,Liquide,Eau Potable,Hell Mina,Il y'a 3 heures,55,494,5697,,-,2024-04-23 09:38:56
320,Bâton du Tabi,40,Bâton,Bâton du Tabi,Hell Mina,Il y'a 3 heures,7000,-,-,4098,+ 2 902,2024-04-23 09:38:56
359,L'Ecaliseur,29,Anneau,L'Ecaliseur,Hell Mina,Il y'a 3 heures,12499,-,-,4524,+ 7 975,2024-04-23 09:38:56
346,Anneau Rak,17,Anneau,Anneau Rak,Hell Mina,Il y'a 3 heures,1050,-,-,641,+ 409,2024-04-23 09:38:56
355,L'Anneau de Valeur,12,Anneau,L'Anneau de Valeur,Hell Mina,Il y'a 3 heures,4400,-,-,846,+ 3 554,2024-04-23 09:38:56
334,Baguette de Liriel,20,Baguette,Baguette de Liriel,Hell Mina,Il y'a 3 heures,12998,-,-,4190,+ 8 808,2024-04-23 09:38:56
337,Arc du Bwork Archer,20,Arc,Arc du Bwork Archer,Hell Mina,Il y'a 3 heures,390,-,-,795,-405,2024-04-23 09:38:56
350,Argent,120,Minerai,Argent,Hell Mina,Il y'a 3 heures,350,2998,41495,,-,2024-04-23 09:38:56
354,La Klebik,25,Épée,La Klebik,Hell Mina,Il y'a 3 heures,1490,-,-,1611,-121,2024-04-23 09:38:56
341,Dagues Eurfolles,46,Dague,Dagues Eurfolles,Hell Mina,Il y'a 3 heures,17000,-,-,14152,+ 2 848,2024-04-23 09:38:56
340,Leurnettes,12,Dague,Leurnettes,Hell Mina,Il y'a 3 heures,300,-,-,632,-332,2024-04-23 09:38:56
333,Baguette Deuh-Pain,50,Baguette,Baguette Deuh-Pain,Hell Mina,Il y'a 3 heures,35000,-,-,17922,+ 17 078,2024-04-23 09:38:56
358,La Queue Infernale,21,Épée,La Queue Infernale,Hell Mina,Il y'a 3 heures,5699,-,-,3896,+ 1 803,2024-04-23 09:38:56
347,Rhizome Doré,40,Pelle,Rhizome Doré,Hell Mina,Il y'a 3 heures,9800,-,-,13549,-3 749,2024-04-23 09:38:56
