item_id,name,rune_weight,jet,coefficient,pdb,last_updated_fr,Actualisation,rune_last_update,price,runes_qty,focus_runes_qty,profitability,focus_profitability
58,Rune Cri,10.0,5,58,16.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-08 11:51:00,1875,1.0,1.7,1875.0,3187.5
70,Rune Ine,1.0,12,85,2.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-13 10:02:00,75,2.1,2.4,157.5,180.0
97,Rune Age,1.0,8,83,1.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-13 07:32:00,131,1.5,2.6,196.5,340.6
97,Rune Do Air,5.0,1,83,1.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-13 07:32:00,1293,0.3,0.5,387.9,646.5
91,Rune Vi,0.2,18,1727,1.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,23.8,2.3,2903.6,280.6
91,Rune Tac,4.0,2,1727,1.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,775,7.9,0.6,6122.5,465.0
62,Rune Fo,1.0,8,1147,3.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,89,34.9,6.5,3106.1,578.5
62,Rune Vi,0.2,18,1147,1.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,22.0,6.0,2684.0,732.0
62,Rune Fui,4.0,4,1147,5.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,414,14.6,1.9,6044.4,786.6
127,Rune Cha,1.0,18,72,14.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 10:20:00,31,10.4,51.5,322.4,1596.5
127,Rune Ga Pme,90.0,1,72,68.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 10:20:00,23950,0.5,0.9,11975.0,21555.0
127,Rune Prospe,3.0,2,72,5.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 10:20:00,93,1.3,15.7,120.9,1460.1
127,Rune Fui,4.0,-10,72,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 10:20:00,414,0.0,0.0,0.0,0.0
67,Rune Vi,0.2,36,35,3.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-02 10:09:00,122,1.2,9.5,146.4,1159.0
67,Rune Age,1.0,23,35,8.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-02 10:09:00,131,3.0,12.1,393.0,1585.1
67,Rune So,10.0,-10,35,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-02 10:09:00,278,0.0,0.0,0.0,0.0
67,Rune Fui,4.0,2,35,3.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-02 10:09:00,414,0.3,2.4,124.2,993.6
130,Rune Fo,1.0,23,1,10.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-30 05:28:00,89,0.1,20.5,8.9,1824.5
130,Rune Cha,1.0,-10,1,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-30 05:28:00,31,0.0,0.0,0.0,0.0
130,Rune Age,1.0,23,1,10.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-30 05:28:00,131,0.1,20.5,13.1,2685.5
130,Rune Ine,1.0,-10,1,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-30 05:28:00,75,0.0,0.0,0.0,0.0
130,Rune Do Terre,5.0,2,1,5.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-30 05:28:00,1246,0.0,3.6,0.0,4485.6
130,Rune Do Air,5.0,2,1,5.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-30 05:28:00,1293,0.0,3.6,0.0,4654.8
84,Rune Vi,0.2,18,1038,1.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,14.9,4.3,1817.8,524.6
84,Rune So,10.0,4,1038,5.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,278,6.0,0.7,1668.0,194.6
55,Rune Fo,1.0,18,2391,8.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,89,191.8,15.6,17070.2,1388.4
55,Rune Vi,0.2,-20,2391,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,0.0,0.0,0.0,0.0
55,Rune Ine,1.0,18,2391,8.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,75,191.8,15.6,14385.0,1170.0
55,Rune Fui,4.0,4,2391,7.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,414,43.3,3.8,17926.2,1573.2
103,Rune Sa,3.0,8,2412,4.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,75,34.1,1.4,2557.5,105.0
112,Rune Cha,1.0,8,1749,2.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,31,36.4,2.1,1128.4,65.1
49,Rune Fo,1.0,8,2684,2.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,89,75.2,6.8,6692.8,605.2
