item_id,nom_objet,focus_rune_nom,prix,craft,rune_last_update,focus_rentabilite,total_profit_non_focus,craft_vs_focus_diff,craft_vs_prix_diff,craft_vs_total_profit_non_focus_diff,meilleur_renta_valeur,meilleur_renta,meilleur_renta_percent
2687,Ceinture Tortue Rouge,Rune Po,39997.0,26608.0,2024-04-12 10:42:00,15062.0,20485.2,-11546.0,13389.0,-6122.8,13389.0,craft_revente,50.32
1360,L'Hyldegarde,Rune Do Eau,16800.0,9834.0,2024-03-29 08:16:00,13377.6,5964.5,3543.6,6966.0,-3869.5,6966.0,craft_revente,70.84
15431,Chapeau de Gein,Rune Do Terre,2399999.0,3851893.0,2024-04-05 11:02:00,270506.6,550022.3,-3581386.4,-1451894.0,-3301870.7,-1451894.0,non_rentable,-37.69
6984,Dagues de l'Apprenti Tueur de Bouftons,Rune Cri,134999.0,132362.0,2024-03-05 12:55:00,35625.0,617847.9,-96737.0,2637.0,485485.9,485485.9,craft_brisage,366.79
9155,Amublop Coco Royale,Rune Ga Pa,13997.0,11039.0,2024-04-11 06:32:00,69786.0,5334.9,58747.0,2958.0,-5704.1,58747.0,craft_brisage_focus,532.18
12411,Bottes du Vulkain,Rune Ga Pme,85549.0,57004.0,2024-03-29 12:06:00,23950.0,47454.7,-33054.0,28545.0,-9549.3,28545.0,craft_revente,50.08
16007,Masque des Fonds marins,Rune Do Eau,1200000.0,1359676.0,2024-03-05 12:55:00,182362.7,2489092.8,-1177313.3,-159676.0,1129416.8,1129416.8,craft_brisage,83.07
19093,Pelle de Katrepat,Rune Do Feu,1899998.0,1862840.0,2024-03-05 12:56:00,241768.4,1997385.8,-1621071.6,37158.0,134545.8,134545.8,craft_brisage,7.22
10189,Oxano,Rune Cri,1979.0,1865.0,2024-03-05 12:55:00,5250.0,116912.0,3385.0,114.0,115047.0,115047.0,craft_brisage,6168.74
16195,Enragé,Rune Fo,142999.0,205657.0,2024-03-05 12:55:00,6764.0,120194.5,-198893.0,-62658.0,-85462.5,-62658.0,non_rentable,-30.47
8285,Coiffe du Dragon Cochon,Rune Cri,69500.0,57734.0,2024-04-12 04:11:00,47812.5,20041.1,-9921.5,11766.0,-37692.9,11766.0,craft_revente,20.38
11080,Bottes de Lonne,Rune Ga Pme,21900.0,15677.0,2024-04-19 01:48:00,21555.0,12359.4,5878.0,6223.0,-3317.6,6223.0,craft_revente,39.7
9133,Alliance Boletée,Rune Vi,199950.0,184723.0,2024-04-02 09:04:00,92134.4,59781.5,-92588.6,15227.0,-124941.5,15227.0,craft_revente,8.24
12724,Furibond majeur,Rune Fo,429497.0,575923.0,2024-03-05 12:55:00,12104.0,345809.5,-563819.0,-146426.0,-230113.5,-146426.0,non_rentable,-25.42
12020,Kwakwalliance,Rune Do Feu,14500.0,9093.0,2024-03-25 10:26:00,9721.8,8650.3,628.8,5407.0,-442.7,5407.0,craft_revente,59.46
1620,Abrarc,Rune Fui,14999.0,16863.0,2024-03-05 12:54:00,3353.4,78707.6,-13509.6,-1864.0,61844.6,61844.6,craft_brisage,366.75
6505,Marteau Réhadaure,Rune Po,139499.0,61266.0,2024-04-15 12:02:00,49616.0,39501.2,-11650.0,78233.0,-21764.8,78233.0,craft_revente,127.69
4241,Griffe Rose,Rune Do Terre,88999.0,72686.0,2024-04-20 07:45:00,62300.0,33235.0,-10386.0,16313.0,-39451.0,16313.0,craft_revente,22.44
6956,Anneau du Mulou,Rune Age,44653.0,30110.0,2024-03-25 10:25:00,6039.1,22964.0,-24070.9,14543.0,-7146.0,14543.0,craft_revente,48.3
